"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18956","Should add exclusion criteria groups","chromium","Fri Mar 06 13:42:13 UTC 2026","passed","Fri Mar 06 13:42:32 UTC 2026","","cohort-definitions/common/cohort-definitions-exclusions.spec.ts","",""
"","12508","Should create a Lines of Therapy Measure browsing the categories","chromium","Fri Mar 06 13:44:58 UTC 2026","passed","Fri Mar 06 13:45:10 UTC 2026","","measures/lines-of-therapy.spec.ts","",""
"","17044","Should be able to select multiple cohorts and execute for each","chromium","Fri Mar 06 13:38:29 UTC 2026","passed","Fri Mar 06 13:38:46 UTC 2026","","analysis/analysis-comparative-safety.spec.ts","",""
"","14705","Should create a drug-coverage measure and allow full configuration","chromium","Fri Mar 06 13:44:21 UTC 2026","passed","Fri Mar 06 13:44:36 UTC 2026","","measures/drug-coverage.spec.ts","",""
"","12335","Should be able to sign out successfully when signing out","chromium","Fri Mar 06 13:42:48 UTC 2026","passed","Fri Mar 06 13:43:00 UTC 2026","","homepage.spec.ts","",""
"","12842","Should view a locked analysis plan","chromium","Fri Mar 06 13:46:36 UTC 2026","passed","Fri Mar 06 13:46:49 UTC 2026","","results/results-list.spec.ts","",""
"","16860","Create incomplete Adherence Description Analysis Plan","chromium","Fri Mar 06 13:38:13 UTC 2026","passed","Fri Mar 06 13:38:30 UTC 2026","","analysis/analysis-adherence-description.spec.ts","",""
"","20037","Should have combine options for attributes with Flag values","chromium","Fri Mar 06 13:44:48 UTC 2026","passed","Fri Mar 06 13:45:08 UTC 2026","","measures/event-value.spec.ts","",""
"","14427","Should generate a Start/End Flag measure","chromium","Fri Mar 06 13:46:01 UTC 2026","passed","Fri Mar 06 13:46:16 UTC 2026","","measures/start-end-flag.spec.ts","",""
"","12866","Creates a Population Exploration v1 with custom defined population from measure and exclusion criteria","chromium","Fri Mar 06 13:41:04 UTC 2026","passed","Fri Mar 06 13:41:17 UTC 2026","","analysis/explorations/pop-explorer-v1.spec.ts","",""
"","11764","Add and configure Demographics","chromium","Fri Mar 06 13:39:14 UTC 2026","passed","Fri Mar 06 13:39:25 UTC 2026","","analysis/analysis-prevalence.spec.ts","",""
"","14313","Configure Count Measure definition.","chromium","Fri Mar 06 13:44:18 UTC 2026","passed","Fri Mar 06 13:44:32 UTC 2026","","measures/count.spec.ts","",""
"","16894","Should allow to replace and remove measures","chromium","Fri Mar 06 13:46:01 UTC 2026","passed","Fri Mar 06 13:46:18 UTC 2026","","measures/sequence-basic.spec.ts","",""
"","13655","Should create a drug-supply measure and allow full configuration","chromium","Fri Mar 06 13:44:23 UTC 2026","passed","Fri Mar 06 13:44:37 UTC 2026","","measures/drug-supply.spec.ts","",""
"","77969","Configure a Comparative (From Subgroup) Cohort Definition and generate a cohort","chromium","Fri Mar 06 13:41:53 UTC 2026","passed","Fri Mar 06 13:43:11 UTC 2026","","cohort-definitions/cohort-definitions-from-subgroups.spec.ts","",""
"","13371","Should select results to display","chromium","Fri Mar 06 13:46:38 UTC 2026","passed","Fri Mar 06 13:46:51 UTC 2026","","results/results.spec.ts","",""
"","28982","AI assistant","chromium","Fri Mar 06 13:41:16 UTC 2026","passed","Fri Mar 06 13:41:44 UTC 2026","","chatbot/ai-assistant.spec.ts","",""
"","21080","Should re-order exclusion criteria","chromium","Fri Mar 06 13:42:08 UTC 2026","passed","Fri Mar 06 13:42:29 UTC 2026","","cohort-definitions/common/cohort-definitions-exclusions.spec.ts","",""
